no_pendaftaran,first_name,last_name,email,gender,asal_sekolah,nilai_mtk,nilai_b_indo,nilai_b_ing,nilai_agama,nilai_penjas,nilai_kimia,nilai_biologi,nilai_fisika,nilai_ppkn,nilai_kesenian,nilai_rata_spmb,keterangan
1,Sanderson,Codrington,scodrington0@tuttocitta.it,Perempuan,SMA 10,8,6.5,9,8,8,6.5,6.5,7.5,9,8,6.5,pertimbangan
2,Carlos,Naish,cnaish1@adobe.com,Laki-laki,SMA 2,7,8.5,8,6.5,7.5,8,8,7.5,7,7.5,6.5,lulus
3,Essie,Kerner,ekerner2@123-reg.co.uk,Perempuan,SMA 3,7.5,6.5,8.5,6.5,7.5,9,7.5,8,8.5,9,9,tidak lulus
4,Mikol,Sinclaire,msinclaire3@samsung.com,Perempuan,SMA 3,9,6.5,9,9,8,9,9,8.5,7,7.5,6.5,tidak lulus
5,Dyanna,Schimaschke,dschimaschke4@comsenz.com,Laki-laki,SMA 9,8.5,9,6.5,7,6.5,6.5,6.5,7.5,8.5,6.5,8.5,tidak lulus
6,Hali,Mixture,hmixture5@cdc.gov,Laki-laki,SMA 6,8,9,8.5,7,8.5,8,7.5,8.5,8,7,7,lulus
7,Marten,Ivimey,mivimey6@google.fr,Laki-laki,SMA 9,7,7.5,8.5,7.5,9,7,8.5,8.5,7.5,6.5,9,pertimbangan
8,Simon,Paskerful,spaskerful7@mail.ru,Perempuan,SMA 7,7,7,8,8,9,7.5,9,9,6.5,6.5,8,tidak lulus
9,Reube,Witherbed,rwitherbed8@sfgate.com,Perempuan,SMA 2,7,9,7,7.5,7.5,7,8.5,7,8,8,7,pertimbangan
10,Kristel,Clausner,kclausner9@unesco.org,Laki-laki,SMA 4,7,7,6.5,8.5,8,8.5,7.5,7,8.5,9,8,pertimbangan
11,Lusa,Barnhill,lbarnhilla@ucsd.edu,Perempuan,SMA 10,8,9,6.5,6.5,8.5,8,8,7.5,8.5,9,7.5,tidak lulus
12,Brnaba,Mungane,bmunganeb@1und1.de,Perempuan,SMA 10,9,8,7,8,9,8.5,7.5,8,6.5,6.5,9,lulus
13,See,Courson,scoursonc@domainmarket.com,Laki-laki,SMA 2,8,9,9,7,7,6.5,8.5,9,8,9,8.5,tidak lulus
14,Sanford,Shorto,sshortod@nature.com,Perempuan,SMA 10,7,9,7.5,7,6.5,6.5,6.5,7.5,9,8.5,9,lulus
15,Valle,Bartaloni,vbartalonie@yahoo.co.jp,Laki-laki,SMA 6,9,8,9,8.5,8,9,7.5,7.5,7,6.5,7,lulus
16,Sallyanne,Inglish,singlishf@vk.com,Perempuan,SMA 7,8,7,8.5,9,7.5,7,9,8.5,6.5,6.5,8,tidak lulus
17,Binni,Balaam,bbalaamg@sfgate.com,Perempuan,SMA 10,9,8.5,8,7.5,7.5,8.5,7,6.5,7,8,8,lulus
18,Daniel,Gierok,dgierokh@sbwire.com,Perempuan,SMA 4,6.5,6.5,8,8,8.5,8.5,6.5,9,7,7.5,7.5,pertimbangan
19,Bond,Creaser,bcreaseri@wikimedia.org,Perempuan,SMA 6,9,6.5,9,8.5,7,8,8.5,9,9,8,7,pertimbangan
20,Koenraad,Don,kdonj@histats.com,Laki-laki,SMA 9,8.5,6.5,7,8.5,6.5,8,9,6.5,8,6.5,9,lulus
21,Alard,Morrowe,amorrowek@ebay.co.uk,Perempuan,SMA 7,6.5,6.5,7.5,6.5,7,8,7,8,9,8,9,tidak lulus
22,Cristie,Wiggans,cwiggansl@baidu.com,Laki-laki,SMA 11,9,9,7.5,6.5,6.5,6.5,7,6.5,6.5,9,8.5,lulus
23,Maxwell,Appleford,mapplefordm@forbes.com,Laki-laki,SMA 8,7.5,9,7.5,9,6.5,9,7,8.5,7,9,7,lulus
24,Hanan,Alcock,halcockn@t-online.de,Laki-laki,SMA 6,7.5,8.5,8.5,8,8.5,7.5,9,7,7.5,9,8.5,pertimbangan
25,Winifield,Waycott,wwaycotto@goodreads.com,Laki-laki,SMA 7,6.5,8.5,8,9,8,8,9,9,8.5,7,7.5,tidak lulus
26,Chandler,Thurby,cthurbyp@jalbum.net,Perempuan,SMA 8,7.5,7.5,8,7,9,8,9,8,8.5,7.5,6.5,lulus
27,Broderic,Lassen,blassenq@discovery.com,Perempuan,SMA 11,8.5,8,7.5,8.5,7,8,9,7.5,8.5,6.5,7.5,lulus
28,Roth,Radband,rradbandr@flavors.me,Perempuan,SMA 8,8.5,7.5,6.5,7.5,7.5,8,7.5,9,8,6.5,8,lulus
29,Kamila,Danzelman,kdanzelmans@japanpost.jp,Laki-laki,SMA 11,8.5,8,6.5,9,7.5,9,7.5,6.5,9,7,6.5,tidak lulus
30,Timoteo,Penas,tpenast@a8.net,Laki-laki,SMA 2,7.5,7.5,8,9,8,6.5,8,7.5,9,8,6.5,pertimbangan
31,Conway,Endon,cendonu@altervista.org,Perempuan,SMA 5,6.5,6.5,6.5,7.5,9,7.5,7.5,6.5,9,8,8.5,tidak lulus
32,Alana,Agus,aagusv@goo.gl,Laki-laki,SMA 4,7.5,7.5,9,6.5,7.5,9,6.5,7,7,7.5,8,tidak lulus
33,Minnie,Acaster,macasterw@businessweek.com,Laki-laki,SMA 5,7,7,8,8,9,8,9,7,9,8,8.5,lulus
